2025-10-25 19:16:06,923 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 19:16:06,952 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 19:16:06,952 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 19:16:08,631 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 19:16:12,221 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 19:16:12,351 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 19:16:12,360 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 19:16:12,392 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 19:16:12,398 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 19:20:47,514 | INFO | 🛑 Application shutdown complete.
2025-10-25 19:20:49,925 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 19:20:49,934 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 19:20:49,945 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 19:20:49,946 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 19:20:51,527 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 19:20:55,052 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 19:20:55,179 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 19:20:55,188 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 19:20:55,215 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 19:20:55,221 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 19:22:53,501 | INFO | 🛑 Application shutdown complete.
2025-10-25 19:22:57,079 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 19:22:57,095 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 19:22:57,124 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 19:22:57,124 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 19:22:59,164 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 19:23:03,391 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 19:23:03,516 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 19:23:03,571 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 19:23:03,577 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 20:23:35,483 | INFO | 🛑 Application shutdown complete.
2025-10-25 20:23:38,077 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 20:23:38,086 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 20:23:38,108 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
